,Make,Model,Battery_(Kwh),Acceleration_in_Secs_(1-100),Top_Speed_(km/h),Range_(km),Efficiency_(Wh/km),Price_in_Germany (€),Make/Model
58,Ford,Mustang Mach-E ER RWD,88.0,7.0,180,440,200,54475.0,Ford Mustang Mach-E ER RWD
59,Skoda,Enyaq iV 80x,77.0,6.9,160,400,193,47000.0,Skoda Enyaq iV 80x
60,CUPRA,Born 150 kW - 58 kWh,58.0,7.3,160,350,166,37220.0,CUPRA Born 150 kW - 58 kWh
61,Volkswagen,ID.4 GTX,77.0,6.2,180,400,193,50415.0,Volkswagen ID.4 GTX
62,Audi,Q4 e-tron 35,52.0,9.0,160,285,182,41900.0,Audi Q4 e-tron 35
63,Renault,Zoe ZE50 R135,52.0,9.5,140,310,168,33990.0,Renault Zoe ZE50 R135
64,Skoda,Enyaq Coupe iV RS,77.0,6.5,180,410,188,57700.0,Skoda Enyaq Coupe iV RS
65,Toyota,bZ4X AWD,71.4,7.7,160,375,190,59990.0,Toyota bZ4X AWD
66,Ford,Mustang Mach-E ER AWD,88.0,5.8,180,420,210,63700.0,Ford Mustang Mach-E ER AWD
67,Volvo,XC40 Recharge Twin Pure Electric,75.0,4.9,180,340,221,56150.0,Volvo XC40 Recharge Twin Pure Electric
68,Lucid,Air Pure,85.0,4.2,200,540,157,85000.0,Lucid Air Pure
69,Lexus,UX 300e,45.0,7.5,160,235,191,47550.0,Lexus UX 300e
70,Volkswagen,e-Up! ,32.3,11.9,130,205,158,26895.0,Volkswagen e-Up! 
71,Citroen,e-C4 ,45.0,9.7,150,265,170,34640.0,Citroen e-C4 
72,Renault,Twingo Electric,21.3,12.6,135,130,164,24790.0,Renault Twingo Electric
73,Polestar,2 Standard Range Single Motor,67.0,7.4,160,385,174,46495.0,Polestar 2 Standard Range Single Motor
74,Hyundai,IONIQ 5 Standard Range 2WD,54.0,8.5,185,295,183,41900.0,Hyundai IONIQ 5 Standard Range 2WD
75,Skoda,Enyaq Coupe iV 80,77.0,8.7,160,455,169,47000.0,Skoda Enyaq Coupe iV 80
76,BMW,iX M60,105.2,3.8,250,485,217,132200.0,BMW iX M60
77,Porsche,Taycan Turbo S,83.7,2.8,260,400,209,186336.0,Porsche Taycan Turbo S
78,Opel,Mokka-e ,45.0,9.2,150,255,176,34110.0,Opel Mokka-e 
79,MG,Marvel R Performance,65.0,4.9,200,330,197,50990.0,MG Marvel R Performance
80,Audi,Q4 Sportback e-tron 40,76.6,8.5,160,425,180,49500.0,Audi Q4 Sportback e-tron 40
81,Hyundai,Kona Electric 39 kWh,39.2,9.9,155,250,157,35650.0,Hyundai Kona Electric 39 kWh
82,Tesla,Model 3 Performance,75.0,3.3,261,460,163,62560.0,Tesla Model 3 Performance
83,Renault,Zoe ZE40 R110,41.0,11.4,135,255,161,29990.0,Renault Zoe ZE40 R110
84,Skoda,Enyaq iV 50,52.0,11.3,160,295,176,34600.0,Skoda Enyaq iV 50
85,Mini,Cooper SE ,28.9,7.3,150,185,156,32500.0,Mini Cooper SE 
86,MG,ZS EV Standard Range,49.0,8.6,175,270,181,33990.0,MG ZS EV Standard Range
87,Ford,Mustang Mach-E SR RWD,68.0,6.9,180,345,197,47500.0,Ford Mustang Mach-E SR RWD
88,Tesla,Model X Long Range,95.0,3.9,250,490,194,125000.0,Tesla Model X Long Range
89,Tesla,Model X Plaid,95.0,2.6,262,465,204,160000.0,Tesla Model X Plaid
90,Volkswagen,ID.3 Pro Performance,58.0,7.3,160,350,166,36960.0,Volkswagen ID.3 Pro Performance
